customer_id,age,monthly_income_ksh,employment_years,credit_score,loan_amount_ksh,loan_term_months,existing_loans,late_payments_last_12m,debt_to_income_ratio,savings_ksh,dependents,employment_type,education_level,housing_status,loan_default
CUST10001,23,101577.0,17.2,567.0,128700.0,24,2,0,0.64,22900.0,5,Salaried,Diploma,Rent,1
CUST10002,49,107972.0,4.1,732.0,109800.0,36,3,1,0.38,31300.0,3,Salaried,Degree,Family,1
CUST10003,55,41551.0,3.5,672.0,245700.0,36,1,0,0.29,108400.0,4,Salaried,Diploma,Own,0
CUST10004,59,66605.0,7.8,732.0,159200.0,12,1,5,0.18,45200.0,4,Salaried,Degree,Rent,1
CUST10005,38,46412.0,4.7,589.0,178300.0,24,2,0,0.33,69900.0,3,Salaried,Secondary,Family,1
CUST10006,40,184613.0,7.7,672.0,109500.0,36,0,0,0.57,140000.0,1,Salaried,Degree,Rent,1
CUST10007,63,109897.0,2.1,751.0,201800.0,24,1,0,0.58,54800.0,3,Self-employed,Degree,Family,0
CUST10008,43,30433.0,7.1,767.0,96100.0,24,0,0,0.26,56700.0,3,Salaried,Diploma,,0
CUST10009,54,34657.0,14.6,699.0,310100.0,6,0,1,0.32,88800.0,4,Salaried,Secondary,Own,1
CUST10010,53,36900.0,10.7,707.0,186400.0,24,0,0,0.29,82800.0,0,Self-employed,Diploma,Own,1
CUST10011,30,86805.0,9.1,591.0,98700.0,24,3,1,0.54,62700.0,3,Salaried,Degree,Rent,1
CUST10012,53,85880.0,13.8,671.0,226800.0,24,2,0,0.32,92500.0,2,Business,Postgraduate,Own,0
CUST10013,53,47072.0,16.6,655.0,83800.0,12,2,4,0.37,91500.0,1,Business,Diploma,Own,1
CUST10014,46,68543.0,0.0,671.0,94300.0,36,1,2,0.3,315700.0,2,Salaried,Degree,Rent,0
CUST10015,40,211945.0,4.7,673.0,101200.0,24,0,0,0.13,38000.0,5,Salaried,Diploma,Own,0
CUST10016,35,85397.0,10.4,624.0,417600.0,24,4,1,0.31,116500.0,2,Business,Secondary,Family,1
CUST10017,57,72248.0,3.7,626.0,177500.0,6,0,0,0.34,42500.0,1,Business,Degree,Own,1
CUST10018,53,67164.0,,,114600.0,36,2,0,0.46,98700.0,3,Business,Degree,Own,1
